x_1,x_2,x_3,x_4,y
-41.71533367611827,-65.18280153050618,-56.890900275093436,-67.77349772948075,-37.36795168441542
-47.342082839429416,-55.96335591238379,-50.958077252968764,-62.63352635909171,-27.803748839941463
-41.74936346839659,-63.283906563727996,-51.14631020103143,-60.999528714427335,-33.592732227816576
-43.645760489028035,-62.23641691319724,-44.611824845200346,-66.30740356431455,-31.138879460261574
-42.870373840155814,-65.96908618333637,-50.9489510411495,-69.08292321541096,-33.750899332504964
-33.90005947945421,-63.87343003896151,-43.69167083054157,-62.28096155413156,-35.43209757171614
-34.536341135143154,-58.97303673600049,-48.57718304389037,-67.28439263338419,-34.309001571422044
-40.254816543143384,-63.127751976593125,-50.96409378564915,-64.40636177208988,-28.611385204278616
-42.31968417706517,-58.770750200395256,-55.564636928535165,-72.01009034453813,-28.505159705346806
-41.49819881576441,-66.25961981134374,-50.82368240337103,-65.53187660577652,-30.50926042406734
-37.14322255485762,-53.9356223101742,-43.52840235113362,-58.29347083573682,-29.86500052345644
-35.759829028539116,-65.10800991424959,-48.29836230502313,-63.05190264513397,-32.526343327098616
-41.30281031718503,-65.10294867374128,-48.706487939722834,-62.02673401393922,-34.174251376366016
-35.40572218161934,-65.79678594031019,-51.14308077174458,-62.59199081356038,-28.524973541146856
-34.549891442887315,-61.808469955448935,-44.99060544112978,-65.44472706513103,-33.241054681932255
-43.204840766558064,-54.674332028988374,-53.08330971406598,-53.91520658474476,-32.726858127728036
-37.08694887954787,-43.93674896467962,-51.92988813896525,-53.18265986599308,-27.689435309960956
-41.650301248730294,-59.59582009637528,-43.941604412410925,-58.995523421146004,-31.6784726421972
-37.75716868025232,-63.65581204303643,-56.21194189492043,-52.114098079073976,-34.05390982816107
-41.503317644101266,-52.57288762594162,-51.90460943988027,-60.014727765288264,-29.060144745782978
-39.99320752909294,-49.3822922542047,-48.25327822266218,-64.72412561365675,-30.84644259701207
-36.210506380883494,-56.03263449179329,-53.84181546156493,-62.62907348594917,-33.66252292503977
-35.23474949442876,-61.464450838421406,-50.35841294090875,-59.03218556556402,-30.833239690735777
-41.49605844011053,-56.30711919057648,-55.38291988728725,-62.61286620197929,-30.292220597469637
-38.63242647753936,-54.074668564885386,-51.952613797120634,-61.52535932559039,-28.16229635354474
-39.26107033292815,-49.2307362867368,-51.861401808019686,-60.43814194012808,-20.778805435791753
-38.20191221473816,-52.426658470615955,-46.40237977760283,-51.102312718178126,-30.073275243041024
-36.30298602206642,-55.102835950982595,-53.7722442940535,-59.353298442377,-29.557132161715746
-39.61467834727736,-52.2675520511348,-47.929178772683166,-58.47902450655914,-24.927969652677163
-38.605230802131395,-56.68748897049542,-45.99896749319608,-62.58238333683803,-27.218143219194914
-43.193869410246705,-55.055486925920896,-45.86537190805932,-60.859826695894846,-27.243006641951062
-40.25846104251608,-62.253999165040234,-52.46149556272783,-55.31679343902466,-26.36938600265887
-33.71585171963048,-53.27808726021657,-49.42682564520667,-68.08634450177153,-26.190916369549512
-39.42497811956315,-55.84767727228782,-53.2287877994413,-57.376998376561055,-29.12078366242608
-33.798103729504504,-51.71530156236025,-49.74686891982571,-59.211445248581285,-29.099136567545717
-39.37889121458012,-51.57595716895669,-48.63858081085313,-57.451857903566015,-30.501206994063693
-35.58937269449612,-51.29245184349177,-45.756435759464594,-55.3820026252218,-32.15351958331505
-32.77781652765011,-60.68690317186389,-50.426989818250306,-60.424243368152645,-27.746808594471702
-37.19957447478474,-52.49842079716484,-45.9673507294605,-54.679315640027085,-27.39158553982363
